Unnamed: 0,repo_name,repo_owner,project_url,description,size,watchers_count,forks_count,open_issues,issues > 8,pull_req > 0,commits > 20,contributors > 8,stars
610,Periodic_NBO,Chengcheng-Xiao,https://github.com/Chengcheng-Xiao/Periodic_NBO,Natural Bond Orbital algorithm to handle systems characterized by periodic symmetry,149,9,4,0,NO,NO,NO,NO,9
611,DART,NCAR,https://github.com/NCAR/DART,Data Assimilation Research Testbed,440780,9,9,2,NO,YES,YES,YES,9
612,RegCM,ictp-esp,https://github.com/ictp-esp/RegCM,ICTP Regional Climate Model,92461,9,1,0,NO,NO,YES,YES,9
613,contrib-snufflings,pyrocko,https://github.com/pyrocko/contrib-snufflings,User contributed snufflings collection,7499,9,10,6,NO,YES,YES,NO,9
614,shabaka,omhafez,https://github.com/omhafez/shabaka,Image-Based Mesh Generation,81054,9,2,0,NO,NO,YES,NO,9
615,mercury6_binary,rsmullen,https://github.com/rsmullen/mercury6_binary,Version of the Chambers Mercury N-body integrator that can handle a central binary,505,9,2,0,NO,NO,YES,NO,9
616,calypso,geodynamics,https://github.com/geodynamics/calypso,"Calypso performs magnetohydrodynamics (MHD) simulation in a rotating spherical shell, modeled as Boussinesq fluid driven by thermal or compositional buoyancy.",31106,9,5,0,NO,YES,YES,NO,9
617,VARDEN,BoxLib-Codes,https://github.com/BoxLib-Codes/VARDEN,Variable-density incompressible Navier-Stokes code in F90,1436,9,5,0,NO,NO,YES,NO,9
618,SCI-effects-simulation,research-group-of-Xinzheng-Lu,https://github.com/research-group-of-Xinzheng-Lu/SCI-effects-simulation,Open source codes for city-scale nonlinear time history analysis of buildings considering site-city interaction effects.,12014,9,3,0,NO,NO,NO,NO,9
619,nonEquilibriumGreensFunction,brian-dellabetta,https://github.com/brian-dellabetta/nonEquilibriumGreensFunction,Calculates transport dynamics of a customizable channel and contact configuration in the Non-Equilibrium Green's Function Formalism,160,9,5,0,NO,NO,NO,NO,9
620,lev00,hornos,https://github.com/hornos/lev00,"L. N. Kantorovich, User-friendly visualisation program for ab initio DFT codes VASP, SIESTA, QE and QUICKSTEP, 1996-2012, unpublished.",256,9,10,0,NO,NO,NO,NO,9
621,classic,clawpack,https://github.com/clawpack/classic,Classic single-grid Fortran routines,488,9,19,10,NO,YES,YES,NO,9
622,FFNN,Lili-Mou,https://github.com/Lili-Mou/FFNN,Feed-forward neural networks,82441,9,1,0,NO,NO,NO,NO,9
623,Nekbone,Nek5000,https://github.com/Nek5000/Nekbone,Proxy app for Nek5000,777,9,11,2,NO,YES,NO,NO,9
624,Nbody6,nbodyx,https://github.com/nbodyx/Nbody6,NBODY6,2288,9,5,1,NO,YES,YES,NO,9
625,uclales,uclales,https://github.com/uclales/uclales,Large eddy simulation code for atmospheric flow,24597,9,14,3,NO,YES,YES,NO,9
626,fortran_oo,pletzer,https://github.com/pletzer/fortran_oo,,22,9,1,0,NO,YES,YES,NO,9
627,GEM,ychen38,https://github.com/ychen38/GEM,A software for computer simulation of magnetically confined plasmas,16233,9,6,0,NO,YES,YES,NO,9
628,FLOw,szaghi,https://github.com/szaghi/FLOw,Fortran fLuid Object,11526,9,4,5,NO,NO,YES,NO,9
629,mamba,shortlab,https://github.com/shortlab/mamba,"Public (open source) repository for the MAMBA porous media chemistry, heat transfer, and fluid flow code, supported by CASL (the Consortium for Advanced Simulation of LWRs)",56784,9,11,1,NO,YES,YES,NO,9
630,vtkmofo,porteri,https://github.com/porteri/vtkmofo,VTK format using modern fortran,1174,9,5,6,NO,YES,YES,NO,9
631,fortran-string-utility-module,tomedunn,https://github.com/tomedunn/fortran-string-utility-module,,15,9,1,0,NO,NO,NO,NO,9
632,feast,certik,https://github.com/certik/feast,FEAST Eigenvalue Solver,3084,9,4,1,NO,NO,NO,NO,9
633,DangerousSnake,dangeroussnake,https://github.com/dangeroussnake/DangerousSnake,A simple snake game written in FORTRAN using gfortran and ncurses.,83,9,1,1,NO,YES,YES,NO,9
634,stda,grimme-lab,https://github.com/grimme-lab/stda,"stda program for computing excited states and response functions via simplified TD-DFT methods (sTDA, sTD-DFT, and SF-sTD-DFT)",580,9,4,1,NO,YES,NO,NO,10
635,hsdar,cran,https://github.com/cran/hsdar,":exclamation: This is a read-only mirror of the CRAN R package repository.  hsdar — Manage, Analyse and Simulate Hyperspectral Data. Homepage: http://vhrz669.hrz.uni-marburg.de/lcrs/, http://teledetection.ipgp.jussieu.fr/prosail/  ",13082,9,6,2,NO,YES,NO,NO,9
636,postg,aoterodelaroza,https://github.com/aoterodelaroza/postg,Calculate the dispersion energy and related quantities in gas-phase systems using the exchange-hole dipole moment (XDM) model.,990,9,3,0,NO,YES,YES,NO,9
637,scalapackfx,dftbplus,https://github.com/dftbplus/scalapackfx,Modern Fortran wrappers around ScaLAPACK routines,219,9,4,2,NO,YES,YES,NO,9
638,SIS2,NOAA-GFDL,https://github.com/NOAA-GFDL/SIS2,NOAA-GFDL's Sea Ice Simulator version 2,4900,9,29,10,NO,YES,YES,YES,9
639,MPMD-with-Coarray-Fortran-Load-Balancing-Example-Program,MichaelSiehl,https://github.com/MichaelSiehl/MPMD-with-Coarray-Fortran-Load-Balancing-Example-Program,THIS REPOSITORY CONTAINS A FORTRAN (2008) COARRAY EXAMPLE PROGRAM THAT ILLUSTRATES A SIMPLE PGAS LOAD BALANCING TECHNIQUE,382,9,1,1,NO,NO,YES,NO,9
640,BigstickPublick,cwjsdsu,https://github.com/cwjsdsu/BigstickPublick,"Open-access version of BIGSTICK configuration-interaction, a.k.a. shell-diagonalization, Fortran 90 code",2557,9,6,1,NO,NO,NO,NO,9
641,molscat,molscat,https://github.com/molscat/molscat,,9029,9,3,0,NO,NO,YES,NO,9
642,WAM,mywave,https://github.com/mywave/WAM,third generation spectral wave model WAM Cycle 4.5.4,7299,9,11,1,NO,NO,NO,NO,9
643,tenstream,tenstream,https://github.com/tenstream/tenstream,,89779,9,6,0,NO,YES,YES,NO,9
644,GenASiS_Mathematics,GenASiS,https://github.com/GenASiS/GenASiS_Mathematics,"Object-oriented manifolds, operations, and solvers for large-scale physics simulations",2363,9,1,0,NO,NO,YES,NO,9
645,pydrus,raoulcollenteur,https://github.com/raoulcollenteur/pydrus,:sweat_drops: Python implementation of the HYDRUS-1D unsaturated zone model,3955,9,2,3,NO,NO,YES,NO,9
646,abaqusPy,youngung,https://github.com/youngung/abaqusPy,My Abaqus related stuffs (under development),503,9,10,0,NO,NO,YES,NO,9
647,unstructured-finite-volume,komahanb,https://github.com/komahanb/unstructured-finite-volume,Unstructured Finite Volume Solver for Partial Differential Equations,2219,9,1,0,NO,NO,YES,NO,9
648,MFV3d,svaverbe,https://github.com/svaverbe/MFV3d,A FORTRAN implementation of a Moving Finite Volume MHD code in three dimensions including self-gravity.,890,9,7,0,NO,NO,NO,NO,9
649,AERMOD-linux,arifwn,https://github.com/arifwn/AERMOD-linux,,597,9,4,2,NO,NO,NO,NO,9
650,eiscor,eiscor,https://github.com/eiscor/eiscor,eigensolvers based on unitary core transformations,4219,9,3,2,NO,YES,YES,NO,9
651,GITM,aaronjridley,https://github.com/aaronjridley/GITM,The Global Ionosphere/Thermosphere Model,30334,9,7,4,NO,YES,YES,NO,9
652,speedy.f90,samhatfield,https://github.com/samhatfield/speedy.f90,An intermediate complexity atmospheric general circulation model,37959,9,1,3,NO,YES,YES,NO,9
653,flx_wrf2,sajinh,https://github.com/sajinh/flx_wrf2,FLEXPART for WRF,44475,9,11,2,NO,NO,NO,NO,9
654,MODFLOW-USG,mwtoews,https://github.com/mwtoews/MODFLOW-USG,"(non-official) Three-dimensional, unstructured, finite-difference groundwater flow model",35277,9,4,0,NO,YES,NO,NO,9
655,DeepNetStuff,mehtadushy,https://github.com/mehtadushy/DeepNetStuff,Bits and bobs from various deepnet experiments,188401,9,3,0,NO,NO,NO,NO,9
656,ParallelForest,bert9bert,https://github.com/bert9bert/ParallelForest,"R package implementing random forest classification using parallel computing, built with Fortran and OpenMP in the backend.",4147,9,4,2,NO,NO,YES,NO,9
657,hdf5-feedstock,conda-forge,https://github.com/conda-forge/hdf5-feedstock,A conda-smithy repository for hdf5.,227,9,33,7,NO,YES,YES,YES,9
658,PelePhysics,AMReX-Combustion,https://github.com/AMReX-Combustion/PelePhysics,A collection of physics databases and implementation code for use with the Pele suite of of codes,33798,9,15,4,NO,YES,YES,YES,9
659,woptic,woptic,https://github.com/woptic/woptic,optical conductivity with Wannier functions and adaptive k-mesh refinement,1627,9,4,15,YES,NO,YES,NO,9
660,FortranHashDict,ropeonfire,https://github.com/ropeonfire/FortranHashDict,A Key-Value Dictionary for Fortran implemented with a hashtable and singly-linked lists.,34,9,0,0,NO,NO,NO,NO,9
661,CPFEM_code,gabortimar,https://github.com/gabortimar/CPFEM_code,Source code for Crystal Plasticity Finite Element simulation program written in Fortran 90.,1552,9,5,0,NO,NO,NO,NO,9
662,multifluids,FluidityProject,https://github.com/FluidityProject/multifluids,Multifluids prototype code,145590,9,5,2,NO,NO,YES,YES,9
663,kpp,barronh,https://github.com/barronh/kpp,Kinetic Pre-Processor (from http://people.cs.vt.edu/~asandu/Software/Kpp/) with updates to allow working with MCM.,1203,9,4,0,NO,YES,YES,NO,9
664,applied_math,dcelisgarza,https://github.com/dcelisgarza/applied_math,Applied maths codes.,8183,9,0,0,NO,NO,YES,NO,9
665,Nek5000-deprecated,Nek5000-deprecated,https://github.com/Nek5000-deprecated/Nek5000-deprecated,Nek5000,2289,9,14,7,NO,YES,YES,NO,9
666,mpich-docker,aespinosa,https://github.com/aespinosa/mpich-docker,MPICH3 with Docker (Global Hack Day 2014 Entry),160,9,1,0,NO,NO,NO,NO,9
667,dataset1d,perrette,https://github.com/perrette/dataset1d,"pandas DataFrame for fortran, with netCDF I/O",224,9,0,0,NO,NO,YES,NO,9
668,LevelSetFortran,musheen,https://github.com/musheen/LevelSetFortran,Three-dimensional level set code in Fortran. Reads an STL file and creates a signed distance field using WENO5. Gives you an option to runs min/max flow on the level set field to smooth the geometry. ,165,9,3,0,NO,YES,YES,NO,9
669,LLEA,helgee,https://github.com/helgee/LLEA,LLEA (Low-Level Engine for Astrodynamics) a modern Fortran astrodynamics library,366,9,1,0,NO,NO,YES,NO,9
670,HMcode,alexander-mead,https://github.com/alexander-mead/HMcode,Source code for non-linear matter power spectrum prediction.,243,9,4,0,NO,NO,YES,NO,9
671,generic-procedures,modern-fortran,https://github.com/modern-fortran/generic-procedures,Generic procedures in Fortran,744,9,0,0,NO,NO,NO,NO,9
672,ADGA,AbinitioDGA,https://github.com/AbinitioDGA/ADGA,Abinitio Dynamical Vertex Approximation,65941,9,0,0,NO,NO,YES,NO,9
673,nsCouette,dfeldmann,https://github.com/dfeldmann/nsCouette,A high-performance code for direct numerical simulations of turbulent Taylor-Couette flow,20720,9,4,0,NO,NO,NO,NO,10
674,ZstdFortranLib,zbeekman,https://github.com/zbeekman/ZstdFortranLib,👨‍💻Zaak's 🧩(missing) 🏛Standard 🔬Fortran 📚Library 🚧(WIP),271,9,0,0,NO,YES,YES,NO,9
675,Modtran,space-physics,https://github.com/space-physics/Modtran,"Modtran atmospheric model, in Fortran and Python interface",4985,9,3,0,NO,NO,NO,NO,10
676,fortran_quaternion,pdebuyl,https://github.com/pdebuyl/fortran_quaternion,Basic quaternion operations,14,9,0,1,NO,NO,YES,NO,9
677,optionsf90,cngilbreth,https://github.com/cngilbreth/optionsf90,Options & input processing for modern Fortran,154,9,3,1,NO,NO,YES,NO,9
678,elk-w90-improved,rohkeaID,https://github.com/rohkeaID/elk-w90-improved,An interface for ELK-Wannier90 calculations,7373,9,1,0,NO,YES,YES,NO,9
679,pflotran,pflotran,https://github.com/pflotran/pflotran,,96781,9,4,0,NO,NO,YES,YES,9
680,dungeon,GOFAI,https://github.com/GOFAI/dungeon,the classic text adventure updated to compile using gfortran,266,9,1,0,NO,YES,NO,NO,9
681,LETFT,PengLiPK,https://github.com/PengLiPK/LETFT,A software about 3D local earthquake tomography with full topography. The outputs are 3D P- and S-wave velocity model.,22859,9,4,0,NO,NO,YES,NO,9
682,uncertainties,ramos,https://github.com/ramos/uncertainties,Fortran MODULE for linear propagation of errors,10,9,1,0,NO,NO,NO,NO,9
683,IHPCSS_Coding_challenge_2019,capellil,https://github.com/capellil/IHPCSS_Coding_challenge_2019,The repository containing everything you need to compete in the IHPCSS 2019 programming challenge.,1192,9,10,0,NO,NO,YES,NO,9
684,wien2wannier,wien2wannier,https://github.com/wien2wannier/wien2wannier,from linearized augmented plane waves to maximally localized Wannier functions,4448,9,6,5,NO,NO,YES,NO,9
685,carlson-elliptic-integrals,jacobwilliams,https://github.com/jacobwilliams/carlson-elliptic-integrals,Carlson symmetric forms of elliptic integrals,604,9,1,0,NO,NO,NO,NO,9
686,ellc,pmaxted,https://github.com/pmaxted/ellc,Light curve model for transiting exoplanets and eclipsing binary stars,13464,9,1,2,NO,NO,NO,NO,9
687,seisloc,speedshi,https://github.com/speedshi/seisloc,seismic location using waveform migration based methods,4031,9,2,2,NO,YES,YES,NO,9
688,hazel2,aasensio,https://github.com/aasensio/hazel2,Hazel v2.0: synthesis and inversion of Stokes profiles caused by the joint action of atomic level polarization and the Hanle and Zeeman effects,50347,9,2,9,NO,NO,YES,NO,9
689,CENS,ManyBodyPhysics,https://github.com/ManyBodyPhysics/CENS,This repository contains several sets of many-body codes developed by Morten Hjorth-Jensen and collaborators. The codes follow the GNU  GPL v.3 public license settings.,17692,9,5,0,NO,YES,YES,NO,9
690,NS-2D,hangsz,https://github.com/hangsz/NS-2D,Function Test for NS-2D Solver.,101404,9,12,0,NO,NO,NO,NO,9
691,tristan-mp-pitp,ntoles,https://github.com/ntoles/tristan-mp-pitp,Particle-in-cell code TRISTAN-MP,1037,9,17,0,NO,YES,NO,NO,9
692,Fortran---CGAL-polyhedra,LadaF,https://github.com/LadaF/Fortran---CGAL-polyhedra,Fortran bindings to the CGAL library to query whether a point is inside of a polyhedron and their distance.,264,8,2,1,NO,NO,NO,NO,8
693,Multigrid_Poisson_Solver_3D,phquanta,https://github.com/phquanta/Multigrid_Poisson_Solver_3D,3D Parallel(MPI)  Multigrid Poisson Solver,9,8,1,0,NO,NO,NO,NO,8
694,fortranString,bceverly,https://github.com/bceverly/fortranString,String class in Fortran 2008,32,8,0,1,NO,NO,YES,NO,8
695,dataplot,usnistgov,https://github.com/usnistgov/dataplot,Source code and auxiliary files for dataplot.,36120,8,1,0,NO,NO,NO,NO,8
696,matprod,radfordneal,https://github.com/radfordneal/matprod,Library for fast matrix multiplication that preserves naive rounding,7473,8,2,0,NO,NO,YES,NO,8
697,advanced-parallel-prog,csc-training,https://github.com/csc-training/advanced-parallel-prog,Advanced Parallel Programming,4238,8,4,0,NO,NO,YES,NO,8
698,DAzimSurfTomo,Chuanming-Liu,https://github.com/Chuanming-Liu/DAzimSurfTomo,Direct inversion of Rayleigh wave dispersion data for 3-D azimuthal anisotropy based on ray tracing,57718,8,8,0,NO,YES,YES,NO,8
699,gees,Azrael3000,https://github.com/Azrael3000/gees,GPL Euler equation solver,36,8,5,4,NO,NO,YES,NO,8
700,ode-openacc,starkiller-astro,https://github.com/starkiller-astro/ode-openacc,Some tests about solving ODEs / reaction networks on GPUs using OpenACC,3037,8,3,0,NO,YES,YES,NO,8
701,clawpack-4.x,clawpack,https://github.com/clawpack/clawpack-4.x,The old svn repository from kingkong will move here for future development.,3218,8,8,2,NO,YES,YES,NO,8
702,isoft,cmacmackin,https://github.com/cmacmackin/isoft,ISOFT: Ice Shelf/Ocean Fluid- and Thermodynamics,16842,8,1,0,NO,NO,YES,NO,8
703,dnad,joddlehod,https://github.com/joddlehod/dnad,A Dual Number Automatic Differentiation Module for Fortran,8,8,1,0,NO,NO,NO,NO,8
